date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:28	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Feb%202019%2006:46:28%20GMT	https://demo.kitthemes.com/robots.txt		(from )
12:16:29	40964/40964	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544cb-a004%22	https://demo.kitthemes.com/html/rentnow/	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/index.html	(from )
12:16:29	41065/41065	---M--	200	added ('OK')	text/css	etag:%225c7545a8-a069%22	https://demo.kitthemes.com/html/rentnow/assets/libs/fontawesome/css/fontawesome-all.min.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/libs/fontawesome/css/fontawesome-all.min.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:29	140930/140930	---M--	200	added ('OK')	text/css	etag:%225c754595-22682%22	https://demo.kitthemes.com/html/rentnow/assets/libs/bootstrap/css/bootstrap.min.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/libs/bootstrap/css/bootstrap.min.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:30	8344/8344	---M--	200	added ('OK')	text/css	etag:%225c754589-2098%22	https://demo.kitthemes.com/html/rentnow/assets/libs/linearicons/linearicons.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/libs/linearicons/linearicons.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:31	1770/1770	---M--	200	added ('OK')	text/css	etag:%225c7544d0-6ea%22	https://demo.kitthemes.com/html/rentnow/assets/css/rentnow-icons.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/css/rentnow-icons.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:31	14849/14849	---M--	200	added ('OK')	text/css	etag:%225c754586-3a01%22	https://demo.kitthemes.com/html/rentnow/assets/libs/flatpickr/flatpickr.min.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/libs/flatpickr/flatpickr.min.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:31	6951/6951	---M--	200	added ('OK')	text/css	etag:%225c7544d0-1b27%22	https://demo.kitthemes.com/html/rentnow/assets/css/magnific-popup.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/css/magnific-popup.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:32	40964/40964	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544cb-a004%22	https://demo.kitthemes.com/html/rentnow/index.html	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/index-2.html	(from https://demo.kitthemes.com/html/rentnow/)
12:16:32	117307/117307	---M--	200	added ('OK')	text/css	etag:%225c7544d1-1ca3b%22	https://demo.kitthemes.com/html/rentnow/assets/css/style.css	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/css/style.css	(from https://demo.kitthemes.com/html/rentnow/)
12:16:32	2165/2165	---M--	200	added ('OK')	image/svg+xml	etag:%225c75455f-875%22	https://demo.kitthemes.com/html/rentnow/assets/images/logo.svg	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/assets/images/logo.svg	(from https://demo.kitthemes.com/html/rentnow/)
12:16:32	25270/25270	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544c5-62b6%22	https://demo.kitthemes.com/html/rentnow/cars.html	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/cars.html	(from https://demo.kitthemes.com/html/rentnow/)
12:16:33	25092/25092	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544c4-6204%22	https://demo.kitthemes.com/html/rentnow/car-search.html	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/car-search.html	(from https://demo.kitthemes.com/html/rentnow/)
12:16:33	33381/33381	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544c5-8265%22	https://demo.kitthemes.com/html/rentnow/car-single.html	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/car-single.html	(from https://demo.kitthemes.com/html/rentnow/)
12:16:33	50726/50726	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544c7-c626%22	https://demo.kitthemes.com/html/rentnow/checkout.html	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/checkout.html	(from https://demo.kitthemes.com/html/rentnow/)
12:16:34	18159/18159	---MCZ	200	added ('OK')	text/html	etag:W/%225c7544c6-46ef%22	https://demo.kitthemes.com/html/rentnow/cart.html	C:/Users/venkat/Desktop/car%20rentals/car%20rental/demo.kitthemes.com/html/rentnow/cart.html	(from https://demo.kitthemes.com/html/rentnow/)
